id,nombre,nombre_completo,provincia_id,centroide_lon,centroide_lat
6412,José C. Paz,Partido de José C. Paz,6,-587.776.710.941.743,-345.118.758.903.445
22112,O'Higgins,Departamento O'Higgins,22,-606.806.781.684.245,-272.575.511.794.731
42147,Trenel,Departamento Trenel,42,-642.143.766.258.097,-356.318.750.123.361
6014,Adolfo Gonzales Chaves,Partido de Adolfo Gonzales Chaves,6,-602.490.776.485.677,-379.642.254.145.303
6315,General Juan Madariaga,Partido de General Juan Madariaga,6,-572.307.866.316.173,-371.532.136.536.641
6791,Tandil,Partido de Tandil,6,-59.181.805.577.778,-373.356.554.181.577
86014,Alberdi,Departamento Alberdi,86,-627.274.743.405.239,-265.210.512.908.819
42119,Quemú Quemú,Departamento Quemú Quemú,42,-63.663.736.169.201,-361.306.397.823.227
42021,Capital,Departamento Capital,42,-64.198.128.304.727,-364.980.625.981.793
86154,Rivadavia,Departamento Rivadavia,86,-622.804.530.355.771,-300.205.633.751.884
86098,Juan F. Ibarra,Departamento Juan F. Ibarra,86,-625.440.138.783.592,-280.394.963.430.537
86077,General Taboada,Departamento General Taboada,86,-623.388.258.455.986,-285.682.847.400.822
50042,La Paz,Departamento La Paz,50,-672.475.409.227.538,-337.114.684.971.791
6196,Coronel Pringles,Partido de Coronel Pringles,6,-612.646.589.620.305,-381.477.437.843.902
6805,Tigre,Partido de Tigre,6,-58.599.453.988.125,-343.815.893.993.371
42028,Catriló,Departamento Catriló,42,-636.648.708.546.651,-365.816.678.881.383
42007,Atreucó,Departamento Atreucó,42,-637.788.855.690.903,-370.324.956.718.132
42070,Guatraché,Departamento Guatraché,42,-637.813.086.707.571,-374.836.474.005.921
42154,Utracán,Departamento Utracán,42,-650.828.316.677.234,-373.338.794.806.846
42098,Loventué,Departamento Loventué,42,-655.329.694.083.622,-364.787.683.011.276
42077,Hucal,Departamento Hucal,42,-639.544.827.643.711,-379.792.340.442.423
42049,Chalileo,Departamento Chalileo,42,-665.727.556.640.635,-363.954.095.124.282
42063,Chical Co,Departamento Chical Co,42,-676.953.932.639.542,-363.978.994.715.573
18049,Esquina,Departamento Esquina,18,-592.414.216.570.581,-299.854.770.547.953
18175,Sauce,Departamento Sauce,18,-587.950.373.826.119,-299.995.445.616.697
18035,Curuzu Cuatia,Departamento Curuzu Cuatia,18,-583.248.439.252.656,-296.955.178.131.115
18147,San Martín,Departamento San Martín,18,-569.315.923.506.787,-288.289.705.275.493
26077,Rawson,Departamento Rawson,26,-650.757.246.833.498,-431.372.229.709.113
